WR4 9RW,385537,0255224
SO19 8BR,447150,0111570
SY3 8XL,346762,0312312
ST5 1QG,384825,0345893
PO30 5TG,449427,0090367
TQ2 7TD,289942,0066482
E1 1BB,534829,0181798
GL3 4AW,387946,0216512
HA1 3UJ,516376,0187616
GU2 7XX,497304,0150014
BS23 4TQ,332406,0158585
BA21 4AT,355505,0116348
BS1 3NU,358896,0173556
TQ2 7AA,289857,0065876
BD9 6RJ,413618,0434429
SS0 0RY,586491,0187309
NW3 2QG,527297,0185410
HA7 4LP,517033,0193991
N18 1QX,533470,0192231
UB8 3NN,506850,0181918
IG3 8XJ,546338,0188680
KT2 7QB,519526,0169822
TA1 5DA,321406,0124176
DT1 2JY,368541,0090463
WS2 9PS,400170,0298280
CH49 5PE,327119,0386423
L35 5DR,347931,0391806
L14 3PE,340406,0390858
L12 2AP,340370,0391870
CW1 4QJ,368248,0357940
M20 4BX,384807,0392578
EX31 4JB,256506,0134540
MK42 9DJ,504661,0248873
LU4 0DZ,505075,0222832
YO31 8HE,460168,0452930
HG2 7SX,431726,0455415
BD20 6TD,402549,0444650
S10 2TH,433981,0387204
PE30 4ET,565208,0320473
BA1 3NG,372876,0165920
BH15 2JB,401994,0091374
MK6 5LD,486836,0237194
SS16 5NL,569975,0187156
CO4 5JL,599511,0227486
BN2 3EW,532813,0105128
GU16 7UJ,487761,0158591
BH17 0RB,401646,0093385
BH7 7DW,412759,0094224
NE34 0PL,436686,0564214
TR1 3LJ,179781,0045319
L9 7AL,338285,0397024
CH63 4JY,331896,0382264
L8 7SS,336260,0389500
L9 7LJ,338292,0397032
RM7 0AG,551118,0187780
S75 2EP,433252,0407062
S60 2UD,443775,0390997
S44 5BL,440141,0371188
TW7 6AF,516469,0176296
LS15 8ZB,437878,0433543
CB23 3RE,528743,0262835
PE3 9GZ,516674,0299847
NR31 6LA,652093,0302477
IP4 5PD,619336,0244656
IP33 2QZ,585110,0262732
CB2 0QQ,546375,0254988
TA6 4RN,330515,0139285
EX2 5DW,293730,0091869
NG3 6AA,458752,0342793
SO16 6YD,439793,0114993
S5 7AU,436262,0390470
PO6 3LY,465570,0106054
RG1 5AN,472411,0172962
SE1 9RT,532884,0180016
SE13 6LH,537874,0174681
CR7 7YE,531688,0167262
SW17 0QT,526927,0171320
PL26 6AD,202772,0051226
CV34 5BW,428525,0265839
ST16 3SA,393506,0323754
ST4 6QG,385866,0345114
DE13 0RB,423255,0324526
DN33 2BA,526239,0407043
SK10 3BL,390687,0373934
CH2 1UL,340130,0368347
BB7 9PE,372212,0437131
SE5 9RS,532494,0176068
